"PATHWAY SORTORDER","BIOCHEMICAL","SUPER PATHWAY","SUB PATHWAY","COMP ID","PLATFORM","CHEMICAL ID","RI","MASS","PUBCHEM","CAS","KEGG","Group                 HMDB"
"1636","5-dodecenoylcarnitine (C12:1)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)","61769","LC/MS Pos Late","100016069","1135","342.26389999999998",NA,NA,NA,"HMDB13326"
"1846","5-HETE","Lipid","Eicosanoid","37372","LC/MS Neg","100002137","5382","319.22789999999998","5280733","73307-52-5","C04805","HMDB11134"
"5270","5-hydroxy-2-methylpyridine sulfate","Xenobiotics","Chemical","63230","LC/MS Neg","100020973","2074","188.00229999999999",NA,NA,NA,NA
"256","5-hydroxyindoleacetate","Amino Acid","Tryptophan Metabolism","437","LC/MS Neg","71","1510.2","190.05099999999999","1826","54-16-0","C05635","HMDB00763"
"109","5-hydroxylysine","Amino Acid","Lysine Metabolism","15685","LC/MS Pos Early","100000054","2790","163.10769999999999","1029","13204-98-3","C16741","HMDB00450"
"196","5-hydroxymethyl-2-furoic acid","Amino Acid","Tyrosine Metabolism","42040","LC/MS Polar","100003954","1442","141.01929999999999","80642","6338-41-6","C20448","HMDB02432"
"465","5-methylthioadenosine (MTA)","Amino Acid","Polyamine Metabolism","1419","LC/MS Pos Early","212","2752","298.09679999999997","439176","2457-80-9","C00170","HMDB01173"
"376","5-methylthioribose","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","62100","LC/MS Pos Early","100002103","790","181.05289999999999","494","23656-67-9",NA,"HMDB01087"
"3780","5-methyluridine (ribothymidine)","Nucleotide","Pyrimidine Metabolism, Uracil containing","35136","LC/MS Neg","100001446","1778.1","257.0779","445408","1463-10-1",NA,"HMDB00884"
"488","5-oxoproline","Amino Acid","Glutathione Metabolism","1494","LC/MS Neg","1021","738.5","128.03530000000001","7405","98-79-3","C01879","HMDB00267"
"280","6-bromotryptophan","Amino Acid","Tryptophan Metabolism","62503","LC/MS Pos Early","100020414","3371","283.0077",NA,NA,NA,NA
"5253","6-hydroxyindole sulfate","Xenobiotics","Chemical","48698","LC/MS Neg","100006260","2498","212.00229999999999",NA,NA,NA,NA
"122","6-oxopiperidine-2-carboxylate","Amino Acid","Lysine Metabolism","43231","LC/MS Neg","100004499","965","142.05099999999999","3014237","34622-39-4",NA,"HMDB61705"
"2847","7-HOCA","Lipid","Sterol","36776","LC/MS Neg","100001609","5288.1","429.30099999999999","3081085","115538-85-7","C17337","HMDB12458"
"1732","7-hydroxyoctanoate","Lipid","Fatty Acid, Monohydroxy","32442","LC/MS Neg","100001223","2232.6999999999998","159.1027","167627","17173-14-7",NA,"HMDB00486"
"3744","7-methylguanine","Nucleotide","Purine Metabolism, Guanine containing","35114","LC/MS Pos Early","100001456","2175","166.07230000000001","11361","578-76-7","C02242","HMDB00897"
"4086","7-methylurate","Xenobiotics","Xanthine Metabolism","39598","LC/MS Neg","100002241","1138","181.0367","69160","612-37-3","C16355","HMDB11107"
"4093","7-methylxanthine","Xenobiotics","Xanthine Metabolism","34390","LC/MS Pos Early","100001396","1350","167.0564","68374","552-62-5","C16353","HMDB01991"
"1733","8-hydroxyoctanoate","Lipid","Fatty Acid, Monohydroxy","21239","LC/MS Neg","100000956","2300","159.1027","69820","764-89-6",NA,"HMDB61914"
"245","8-methoxykynurenate","Amino Acid","Tryptophan Metabolism","62955","LC/MS Pos Early","100020360","2574","220.06039999999999","76230","2929-14-8","C05830","HMDB60426"
"1762","9,10-DiHOME","Lipid","Fatty Acid, Dihydroxy","38399","LC/MS Neg","179","5180","313.23840000000001","9966640","263399-34-4","C14828","HMDB04704"
"1753","9-hydroxystearate","Lipid","Fatty Acid, Monohydroxy","47120","LC/MS Neg","100005834","5384","299.25920000000002","9570127","25498-28-6",NA,"HMDB61661"
"4447","acesulfame","Xenobiotics","Food Component/Plant","48569","LC/MS Neg","100006203","1581","161.98670000000001","36573","55589-62-3",NA,"HMDB33585"
"1680","acetoacetate","Lipid","Ketone Bodies","33963","LC/MS Pos Early","1218","1062","103.039","96","578486","C00164","HMDB00060"
"1609","acetylcarnitine (C2)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Short Chain)","32198","LC/MS Pos Early","100000802","2282","204.12299999999999","1","5080-50-2","C02571","HMDB00201"
"1267","aconitate [cis or trans]","Energy","TCA Cycle","46173","LC/MS Neg","100001359","580","173.00919999999999",NA,NA,NA,NA
"3708","adenine","Nucleotide","Purine Metabolism, Adenine containing","554","LC/MS Pos Early","880","2221","136.06180000000001","190","73-24-5","C00147","HMDB00034"
"3700","AMP","Nucleotide","Purine Metabolism, Adenine containing","32342","LC/MS Pos Early","209","1013","348.07040000000001","6083","149022-20-8","C00020","HMDB00045"
"1471","adipate","Lipid","Fatty Acid, Dicarboxylate","21134","LC/MS Polar","100000863","3000","145.0506","196","124-04-9","C06104","HMDB00448"
"1658","adipoylcarnitine (C6-DC)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)","52988","LC/MS Pos Early","100006614","2570","290.15980000000002","71296139",NA,NA,"HMDB61677"
"1384","adrenate (22:4n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","32980","LC/MS Neg","100001193","5678","331.26429999999999","5497181","2091-25-0","C16527","HMDB02226"
"28","alanine","Amino Acid","Alanine and Aspartate Metabolism","1126","LC/MS Neg","811","682","88.040400000000005","5950","56-41-7","C00041","HMDB00161"
"3694","allantoin","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","1107","LC/MS Polar","1002","1672","157.0367","204","97-59-6","C02350","HMDB00462"
"4246","alliin","Xenobiotics","Food Component/Plant","41494","LC/MS Pos Early","100003473","1470","178.0532","87310","556-27-4","C08265","HMDB33592"
"1701","alpha-hydroxycaproate","Lipid","Fatty Acid, Monohydroxy","37073","LC/MS Neg","100001723","1920","131.07140000000001","99824","6064-63-7",NA,"HMDB01624"
"294","alpha-hydroxyisocaproate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","22132","LC/MS Neg","100000706","1840","131.07140000000001","83697","10303-64-7","C03264","HMDB00746"
"355","alpha-hydroxyisovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","46537","LC/MS Polar","100001300","1052","117.0557","99823","600-37-3",NA,"HMDB00407"
"382","alpha-ketobutyrate","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","4968","LC/MS Polar","796","940","101.0244","58","600-18-0","C00109","HMDB00005"
"44","alpha-ketoglutaramate*","Amino Acid","Glutamate Metabolism","62101","LC/MS Polar","100002397","1916","144.03020000000001",NA,"18465-19-5",NA,NA
"1271","alpha-ketoglutarate","Energy","TCA Cycle","528","LC/MS Polar","93","2700","145.01429999999999","51","305-72-6;328-50-7;22202-68-2","C00026","HMDB00208"
"3900","alpha-tocopherol","Cofactors and Vitamins","Tocopherol Metabolism","1561","LC/MS Pos Late","1105","2522","430.37819999999999","14985","59-02-9;10191-41-0","C02477","HMDB01893"
"3015","andro steroid monosulfate C19H28O6S (1)*","Lipid","Androgenic Steroids","32827","LC/MS Neg","100002152","3871","383.15339999999998",NA,NA,"C04555","HMDB02759"
"2990","androstenediol (3alpha, 17alpha) monosulfate (2)","Lipid","Androgenic Steroids","37207","LC/MS Neg","100002026","4712","369.17410000000001",NA,NA,NA,NA
"2991","androstenediol (3alpha, 17alpha) monosulfate (3)","Lipid","Androgenic Steroids","37209","LC/MS Neg","100002027","5180","369.17410000000001",NA,NA,NA,NA
"2986","androstenediol (3beta,17beta) disulfate (1)","Lipid","Androgenic Steroids","37202","LC/MS Neg","100001992","3740","224.06180000000001","87120982",NA,"C04295","HMDB03818"
"2987","androstenediol (3beta,17beta) disulfate (2)","Lipid","Androgenic Steroids","37203","LC/MS Neg","100001994","4065","224.0624","87120982",NA,"C04295","HMDB03818"
"2983","androstenediol (3beta,17beta) monosulfate (1)","Lipid","Androgenic Steroids","37211","LC/MS Neg","100002028","4535","369.17410000000001","13847309","521-17-5",NA,"HMDB03818"
"2984","androstenediol (3beta,17beta) monosulfate (2)","Lipid","Androgenic Steroids","37210","LC/MS Neg","100002029","4500","369.17410000000001",NA,NA,NA,NA
"2967","androsterone glucuronide","Lipid","Androgenic Steroids","61846","LC/MS Neg","100002761","4953","465.24939999999998","114833","1852-43-3","C11135","HMDB02829"
"2977","androsterone sulfate","Lipid","Androgenic Steroids","31591","LC/MS Neg","100001073","5022","369.17410000000001","159663","2479-86-9",NA,"HMDB02759"
"241","anthranilate","Amino Acid","Tryptophan Metabolism","57746","LC/MS Pos Early","1258","2606","120.0444","227","118-92-3","C00108","HMDB01123"
"1106","arabinose","Carbohydrate","Pentose Metabolism","575","LC/MS Polar","828","1804.5","195.05099999999999","66308","28697-53-2","C00216","HMDB00646"
"1114","arabitol/xylitol","Carbohydrate","Pentose Metabolism","48885","LC/MS Polar","100006430","1932.4","151.06120000000001","6912",NA,"C01904",NA
"1120","arabonate/xylonate","Carbohydrate","Pentose Metabolism","48255","LC/MS Polar","100006115","2700","165.04050000000001",NA,NA,NA,NA
"1329","arachidate (20:0)","Lipid","Long Chain Saturated Fatty Acid","1118","LC/MS Neg","893","6240","311.29559999999998","10467","506-30-9","C06425","HMDB02212"
"1382","arachidonate (20:4n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","1110","LC/MS Neg","229","5535","303.233","444899","506-32-1","C00219","HMDB01043"
"1648","arachidonoylcarnitine (C20:4)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)","57518","LC/MS Pos Late","100015837","1353","448.34219999999999",NA,NA,NA,NA
"1695","arachidonoylcholine","Lipid","Fatty Acid Metabolism (Acyl Choline)","53261","LC/MS Pos Late","100009332","1390","390.33670000000001",NA,NA,NA,NA
"441","argininate*","Amino Acid","Urea cycle; Arginine and Proline Metabolism","57461","LC/MS Pos Early","100002769","2150","176.10300000000001","160437","157-07-3",NA,"HMDB03148"
"405","arginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","1638","LC/MS Pos Early","231","2825","175.119","232","1119-34-2","C00062","HMDB00517"
"406","argininosuccinate","Amino Acid","Urea cycle; Arginine and Proline Metabolism","15497","LC/MS Pos Early","232","2745","291.12990000000002","828","156637-58-0","C03406","HMDB00052"
"3892","ascorbate (Vitamin C)","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","32354","LC/MS Pos Early","233","770","177.0394",NA,"134-03-2","C00072","HMDB00044"
"39","asparagine","Amino Acid","Alanine and Aspartate Metabolism","512","LC/MS Polar","917","2951.1","131.0462","6267","70-47-3","C00152","HMDB00168"
"35","aspartate","Amino Acid","Alanine and Aspartate Metabolism","443","LC/MS Pos Early","234","1165","134.04480000000001","5960","56-84-8","C00049","HMDB00191"
"4804","atazanavir","Xenobiotics","Drug - Antiviral","63279","LC/MS Pos Late","100020926","1020","705.39700000000005","148192","198904-31-3","D07471","HMDB15205"
"1885","azelaoyltaurine","Lipid","Endocannabinoid","63226","LC/MS Polar","100021233","2002","294.10169999999999",NA,NA,NA,NA
"1484","azelate (nonanedioate; C9)","Lipid","Fatty Acid, Dicarboxylate","18362","LC/MS Neg","2029","1276","187.0976","2266","123-99-9","C08261","HMDB00784"
"2744","behenoyl dihydrosphingomyelin (d18:0/22:0)*","Lipid","Dihydrosphingomyelins","57331","LC/MS Pos Late","100009026","3150","789.68439999999998",NA,NA,NA,"HMDB12091"
"2750","behenoyl sphingomyelin (d18:1/22:0)*","Lipid","Sphingomyelins","48492","LC/MS Pos Late","100006294","3083","787.66880000000003",NA,NA,NA,"HMDB12103"
"1626","behenoylcarnitine (C22)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","57514","LC/MS Pos Late","100015832","1561","484.43599999999998",NA,NA,NA,NA
"4001","benzoate","Xenobiotics","Benzoate Metabolism","15778","LC/MS Neg","100000008","1750","121.0295","243","65-85-0","C00180","HMDB01870"
"5214","benzoylcarnitine*","Xenobiotics","Chemical","43265","LC/MS Pos Early","100004555","3041","266.13869999999997",NA,"105450-08-6",NA,NA
"3795","beta-alanine","Nucleotide","Pyrimidine Metabolism, Uracil containing","55","LC/MS Pos Early","244","1905","90.055000000000007","239","56-41-7;107-95-9","C00099","HMDB00056"
"54","beta-citrylglutamate","Amino Acid","Glutamate Metabolism","54923","LC/MS Neg","100003271","530","320.06229999999999","72715786","73590-26-8","C20775",NA
"3971","beta-cryptoxanthin","Cofactors and Vitamins","Vitamin A Metabolism","57591","LC/MS Pos Late","100001977","2560","552.43259999999998","6384256","472-70-8",NA,"HMDB33844"
"307","beta-hydroxyisovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","12129","LC/MS Neg","1442","1027","117.0557","69362","625-08-1",NA,"HMDB00754"
"6","betaine","Amino Acid","Glycine, Serine and Threonine Metabolism","3141","LC/MS Pos Early","799","1064","118.08629999999999","247","107-43-7","C00719","HMDB00043"
"2861","beta-sitosterol","Lipid","Sterol","27414","LC/MS Pos Late","100001033","3054","397.38290000000001","222284","83-46-5","C01753","HMDB00852"
"3946","bilirubin (E,E)*","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","32586","LC/MS Neg","100001950","4294","583.25620000000004","5315454",NA,NA,NA
"3947","bilirubin (E,Z or Z,E)*","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","47886","LC/MS Pos Late","100001951","1265","585.27080000000001","5799469",NA,NA,"HMDB00488"
"3945","bilirubin","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","43807","LC/MS Pos Late","1090","1840","585.27080000000001","5280352","635-65-4","C00486","HMDB00054"
"3948","biliverdin","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","2137","LC/MS Pos Late","250","1016","583.25509999999997","5353439","55482-27-4;55482-27-4","C00500","HMDB01008"
"955","bradykinin","Peptide","Polypeptide","22154","LC/MS Pos Late","100000967","792","530.78800000000001","439201","58-82-2","C00306","HMDB04246"
"1496","branched chain 14:0 dicarboxylic acid","Lipid","Fatty Acid, Dicarboxylate","63191","LC/MS Neg","100021374","3849","257.17579999999998",NA,NA,NA,NA
"5266","bromine","Xenobiotics","Chemical","63012","LC/MS Polar","100021110","1006","80.916799999999995","24408","7726-95-6",NA,"HMDB31434"
"1572","butyrylcarnitine (C4)","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","32412","LC/MS Pos Early","100001054","2860","232.15430000000001","439829","25576-40-3","C02862","HMDB02013"
"4600","caffeic acid sulfate","Xenobiotics","Food Component/Plant","53254","LC/MS Polar","100009337","1307","258.99180000000001",NA,NA,NA,"HMDB41708"
"4081","caffeine","Xenobiotics","Xanthine Metabolism","569","LC/MS Pos Early","849","2106","195.08770000000001","2519","58-08-2","C07481","HMDB01847"
"2864","campesterol","Lipid","Sterol","33997","LC/MS Pos Late","100001269","2873","383.36720000000003","173183","474-62-4","C01789","HMDB02869"
"1314","caprate (10:0)","Lipid","Medium Chain Fatty Acid","1642","LC/MS Neg","888","5090.7","171.13910000000001","2969","334-48-5","C01571","HMDB00511"
"1310","caproate (6:0)","Lipid","Medium Chain Fatty Acid","32489","LC/MS Neg","926","2713.7","115.0765","8892","142-62-1","C01585","HMDB00535"
"1312","caprylate (8:0)","Lipid","Medium Chain Fatty Acid","32492","LC/MS Neg","932","4362","143.1078","379","124-07-2","C06423","HMDB00482"
"56","carboxyethyl-GABA","Amino Acid","Glutamate Metabolism","40007","LC/MS Pos Early","100003260","2085","176.0917","2572","908055",NA,"HMDB02201"
"4696","carboxyibuprofen","Xenobiotics","Drug - Analgesics, Anesthetics","43333","LC/MS Neg","100004171","1920","235.0976","10444113","15935-54-3",NA,"HMDB60564"
"4697","carboxyibuprofen glucuronide*","Xenobiotics","Drug - Analgesics, Anesthetics","62067","LC/MS Polar","100020212","2294","411.12970000000001",NA,NA,NA,"HMDB60564"
"1677","carnitine","Lipid","Carnitine Metabolism","15500","LC/MS Pos Early","100000007","1978","162.11250000000001","10917","461-05-2","C00318","HMDB00062"
"78","carnosine","Amino Acid","Histidine Metabolism","1768","LC/MS Pos Early","249","2942","227.1139","439224","305-84-0","C00386","HMDB00033"
"3967","carotene diol (1)","Cofactors and Vitamins","Vitamin A Metabolism","57635","LC/MS Pos Late","100015966","1720","568.42759999999998",NA,NA,NA,NA
"3968","carotene diol (2)","Cofactors and Vitamins","Vitamin A Metabolism","57636","LC/MS Pos Late","100015967","1904","568.42790000000002",NA,NA,NA,NA
"3969","carotene diol (3)","Cofactors and Vitamins","Vitamin A Metabolism","57637","LC/MS Pos Late","100015968","1948","568.42790000000002",NA,NA,NA,NA
"4019","catechol sulfate","Xenobiotics","Benzoate Metabolism","35320","LC/MS Neg","100001605","1906","188.9863","3083879","4918-96-1",NA,"HMDB59724"
"4748","cefazolin","Xenobiotics","Drug - Antibiotic","57693","LC/MS Pos Early","100015895","2266","455.03730000000002","33255","27614-46-1","D00905,C06880,D02299","HMDB15422"
"2696","ceramide (d16:1/24:1, d18:1/22:1)*","Lipid","Ceramides","57437","LC/MS Pos Late","100015727","3850","620.59760000000006",NA,NA,NA,NA
"2692","ceramide (d18:1/14:0, d16:1/16:0)*","Lipid","Ceramides","57432","LC/MS Pos Late","100015735","2477","510.48809999999997",NA,NA,NA,NA
"2693","ceramide (d18:1/17:0, d17:1/18:0)*","Lipid","Ceramides","57434","LC/MS Pos Late","100015737","3055","552.53510000000006",NA,NA,NA,NA
"2695","ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*","Lipid","Ceramides","57440","LC/MS Pos Late","100015755","3920","594.58199999999999",NA,NA,NA,NA
"2697","ceramide (d18:2/24:1, d18:1/24:2)*","Lipid","Ceramides","57443","LC/MS Pos Late","100015744","3858","646.61329999999998",NA,NA,NA,NA
"1628","cerotoylcarnitine (C26)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","57516","LC/MS Pos Late","100015835","1649","540.49860000000001",NA,NA,NA,"HMDB06347"
"5027","cetirizine","Xenobiotics","Drug - Respiratory","54745","LC/MS Pos Late","100009034","1052","389.16269999999997","2678","83881-51-0","C07778","HMDB05032"
"230","C-glycosyltryptophan","Amino Acid","Tryptophan Metabolism","48782","LC/MS Neg","100006379","1777","365.1354","10981970","180509-18-6",NA,NA
"3045","chenodeoxycholate","Lipid","Primary Bile Acid Metabolism","1563","LC/MS Neg","1123","5264","391.28539999999998","10133","474-24-9;474-25-9","C02528","HMDB00518"
"1907","chiro-inositol","Lipid","Inositol Metabolism","37112","LC/MS Polar","100001859","3191.2","225.0616",NA,"643-12-9","C19891","HMDB34220"
"3042","cholate","Lipid","Primary Bile Acid Metabolism","22842","LC/MS Neg","136","5165","407.28030000000001","221493","81-25-4","C00695","HMDB00619"
"2836","cholesterol","Lipid","Sterol","63","LC/MS Pos Late","266","2707","369.35160000000002","11025495","57-88-5","C00187","HMDB00067"
"1935","choline","Lipid","Phospholipid Metabolism","15506","LC/MS Pos Early","1256","1961","104.107","305","67-48-1","C00114","HMDB00097"
"1936","phosphocholine","Lipid","Phospholipid Metabolism","34396","LC/MS Pos Early","267","700","184.07329999999999","1014","72556-74-2","C00588","HMDB01565"
"4282","cinnamoylglycine","Xenobiotics","Food Component/Plant","38637","LC/MS Neg","100002253","3127","204.06659999999999","709625","16534-24-0",NA,"HMDB11621"
"1315","cis-4-decenoate (10:1n6)*","Lipid","Medium Chain Fatty Acid","62873","LC/MS Neg","100002796","4890","169.1234","5312351","505-90-8",NA,NA
"1635","cis-4-decenoylcarnitine (C10:1)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)","38178","LC/MS Pos Late","100002259","1057","314.23259999999999",NA,"98930-66-6",NA,NA
"1286","citraconate/glutaconate","Energy","TCA Cycle","47076","LC/MS Polar","100006438","2600","129.01939999999999",NA,NA,NA,NA
"1265","citrate","Energy","TCA Cycle","1564","LC/MS Neg","1124","582","191.0197","311","77-92-9","C00158","HMDB00094"
"414","citrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","2132","LC/MS Polar","391","3250","174.08840000000001","9750","372-75-8","C00327","HMDB00904"
"4753","clindamycin","Xenobiotics","Drug - Antibiotic","57673","LC/MS Pos Late","100015876","848","425.18720000000002","446598","18323-44-9","D00277,C06914",NA
"2937","corticosterone","Lipid","Corticosteroids","5983","LC/MS Neg","272","5040","345.20710000000003","5753","50-22-6","C02140","HMDB01547"
"2943","cortisol","Lipid","Corticosteroids","1712","LC/MS Neg","356","4710","361.202","5754","50-23-7","C00735","HMDB00063"
"2945","cortisone","Lipid","Corticosteroids","1769","LC/MS Neg","273","4575","359.18639999999999","222786","53-06-5","C00762","HMDB02802"
"2951","cortolone glucuronide (1)","Lipid","Corticosteroids","57699","LC/MS Neg","100015971","4600","541.2654",NA,NA,NA,NA
"4097","cotinine","Xenobiotics","Tobacco Metabolite","553","LC/MS Pos Early","848","2213","177.10220000000001","854019","486-56-6",NA,"HMDB01046"
"447","creatine","Amino Acid","Creatine Metabolism","27718","LC/MS Pos Early","1221","1947","132.07679999999999","586","57-00-1","C00300","HMDB00064"
"448","creatinine","Amino Acid","Creatine Metabolism","513","LC/MS Pos Early","275","2055","114.06619999999999","588","60-27-5","C00791","HMDB00562"
"487","cys-gly, oxidized","Amino Acid","Glutathione Metabolism","18368","LC/MS Pos Early","1224","2947","355.07409999999999","333293","7729-20-6",NA,NA
"381","cystathionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","15705","LC/MS Pos Early","310","2270","223.07470000000001","439258","535-34-2","C02291","HMDB00099"
"383","cysteine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","1868","LC/MS Pos Early","800","1475","122.027","5862","52-90-4;56-89-3","C00097","HMDB00574"
"388","cysteine s-sulfate","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","22176","LC/MS Pos Early","100000808","565","201.9838","115015","1637-71-4","C05824","HMDB00731"
"395","cysteine sulfinic acid","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","37443","LC/MS Pos Early","100002113","597","154.01689999999999","109","207121-48-0","C00606","HMDB00996"
"482","cysteine-glutathione disulfide","Amino Acid","Glutathione Metabolism","35159","LC/MS Pos Early","100001437","2465","427.09519999999998","4247235","13081-14-6",NA,"HMDB00656"
"485","cysteinylglycine","Amino Acid","Glutathione Metabolism","35637","LC/MS Pos Early","278","2132","179.04849999999999","439498","19246-18-5","C01419","HMDB00078"
"486","cysteinylglycine disulfide*","Amino Acid","Glutathione Metabolism","62103","LC/MS Pos Early","100002466","2547","298.05259999999998",NA,"70555-24-7",NA,"HMDB00709"
"389","cystine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","56","LC/MS Polar","279","3424","239.01660000000001","67678","56-89-3","C00491","HMDB00192"
"3806","cytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing","514","LC/MS Pos Early","827","2124","244.09280000000001","6175","65-46-3","C00475","HMDB00089"
"3807","cytosine","Nucleotide","Pyrimidine Metabolism, Cytidine containing","573","LC/MS Pos Early","881","2060","112.0505","597","71-30-7","C00380","HMDB00630"
"1618","decanoylcarnitine (C10)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","33941","LC/MS Pos Late","100001251","1130","316.2482","10245190","1492-27-9",NA,"HMDB00651"
"2965","dehydroepiandrosterone sulfate (DHEA-S)","Lipid","Androgenic Steroids","32425","LC/MS Neg","100000792","4745","367.1585","12594","651-48-9","C04555","HMDB01032"
"1676","deoxycarnitine","Lipid","Carnitine Metabolism","36747","LC/MS Pos Early","100001662","2052","146.11760000000001","134","6249-56-5","C01181","HMDB01161"
"3063","deoxycholate","Lipid","Secondary Bile Acid Metabolism","1114","LC/MS Pos Late","302","1415","357.27879999999999","222528","83-44-3","C04483","HMDB00626"
"2544","diacylglycerol (14:0/18:1, 16:0/16:1) [1]*","Lipid","Diacylglycerol","54953","LC/MS Pos Late","100010934","3057","584.5249",NA,NA,NA,NA
"2545","diacylglycerol (14:0/18:1, 16:0/16:1) [2]*","Lipid","Diacylglycerol","54954","LC/MS Pos Late","100010935","3183","584.5249",NA,NA,NA,NA
"2546","diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*","Lipid","Diacylglycerol","54966","LC/MS Pos Late","100010940","2733","608.5249",NA,NA,NA,NA
"5109","diglycerol","Xenobiotics","Chemical","40700","LC/MS Pos Early","100003700","818","167.09139999999999","42953","627-82-7",NA,NA
"1379","dihomolinoleate (20:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","17805","LC/MS Neg","1231","5730","307.26429999999999","6439848","2091-39-6","C16525","HMDB05060"
"1381","dihomolinolenate (20:3n3 or 3n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","35718","LC/MS Neg","100001739","5596","305.24860000000001","5280581","17046-59-2","C03242","HMDB02925"
"1649","dihomo-linolenoylcarnitine (C20:3n3 or 6)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)","57521","LC/MS Pos Late","100015840","1392","450.3578",NA,NA,NA,NA
"1690","dihomo-linolenoyl-choline","Lipid","Fatty Acid Metabolism (Acyl Choline)","53262","LC/MS Pos Late","100009335","1424","392.35230000000001",NA,NA,NA,NA
"1647","dihomo-linoleoylcarnitine (C20:2)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)","57520","LC/MS Pos Late","100015839","1436","452.3734",NA,NA,NA,NA
"4264","dihydrocaffeate sulfate (2)","Xenobiotics","Food Component/Plant","62524","LC/MS Polar","100020822","1328","261.00740000000002",NA,NA,NA,NA
"3762","dihydroorotate","Nucleotide","Pyrimidine Metabolism, Orotate containing","601","LC/MS Polar","923","1910","157.02549999999999","648","155-54-4","C00337","HMDB03349"
"5182","dimethyl sulfone","Xenobiotics","Chemical","43424","LC/MS Pos Early","100004284","832","95.016099999999994","6213","67-71-0","C11142","HMDB04983"
"420","dimethylarginine (ADMA + SDMA)","Amino Acid","Urea cycle; Arginine and Proline Metabolism","36808","LC/MS Pos Early","100001810","2850","203.15029999999999","123831","102783-24-4","C03626","HMDB01539"
"5","dimethylglycine","Amino Acid","Glycine, Serine and Threonine Metabolism","5086","LC/MS Pos Early","806","1104","104.0706","673","1118-68-9","C01026","HMDB00092"
"1386","docosadienoate (22:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","32415","LC/MS Neg","100001182","6034","335.29559999999998","5282807","7370-49-2","C16533","HMDB61714"
"1508","docosadioate (C22-DC)","Lipid","Fatty Acid, Dicarboxylate","39837","LC/MS Neg","100002952","5291.8","369.30099999999999","244872","505-56-6","C19625",NA
"1372","docosahexaenoate (DHA; 22:6n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","44675","LC/MS Neg","100000665","5525","327.233","445580","6217-54-5","C06429","HMDB02183"
"1656","docosahexaenoylcarnitine (C22:6)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)","57523","LC/MS Pos Late","100015845","1349","472.34219999999999",NA,NA,NA,NA
"1694","docosahexaenoylcholine","Lipid","Fatty Acid Metabolism (Acyl Choline)","53263","LC/MS Pos Late","100009333","1378","414.33670000000001",NA,NA,NA,NA
"1371","docosapentaenoate (DPA; 22:5n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","32504","LC/MS Neg","100001181","5571","329.24860000000001","6441454","2234-74-4","C16513","HMDB06528"
"1385","docosapentaenoate (n6 DPA; 22:5n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","37478","LC/MS Neg","100001580","5624.5","329.24860000000001","6441454","25182-74-5","C16513","HMDB01976"
